Year,Biofuel,Biochar,Construction,Exterior,Household,Graphic Paper,Other Paper,Household Paper
1961,285763275,12447848,179817095,74300620,194099473,260647182.53,90560756.0,59754273.15
1962,282588127,12004344,188776252,99492208,170293682,248824432.98000002,100679310.2,56458287.6
1963,293701143,17763045,189602353,71383467,163003331,262005153.43,118224284.8,55771351.35
1964,317514750,13488027,201606208,89926368,201289465,245321374.89,106247953.2,84998362.02
1965,326586600,12462545,190270120,93319026,189989838,248078948.26,98258720.56,51498692.96
1966,255960434,13084697,201930729,91623122,170589992,247096042.03,106079559.3,45787691.95
1967,365141962,18666057,263979446,103106821,214368003,263986090.92000002,134044293.2,55132761.97
1968,381017700,20574956,233307017,122175329,255778170,256545333.29000002,148497140.2,47523533.2
1969,388955568,19883409,257074182,116624578,229249413,271406145.01,154780241.3,53122107.61
1970,358771256,24669112,246565393,81127693,227717621,269319541.94,166777925.6,65388902.15
1971,404831306,21277933,289510048,133892896,218620473,287354850.68,155742588.4,56975464.26
1972,416738110,17703035,302059612,112688979,223625815,294762475.17,143141774.5,63462609.21
1973,412769175,17237241,287456784,96221024,275924690,298914094.01,153641066.2,50860418.18
1974,420707044,22718180,282003345,133731463,274402352,305602475.75,144919082.9,65996340.41
1975,433616059,16702891,281799820,112835660,255040419,297083468.11,143759022.6,55569053.54
1976,436582782,18546037,293202438,134213317,267305661,321709153.48,155543878.5,58436373.71
1977,444520650,19363320,307731730,114321038,272811265,331807484.6,144372219.4,84410047.15
1978,452458519,16451392,300503005,157416782,315567596,328835392.64,162090627.3,65703882.53
1979,467540469,25752129,322224307,124494538,265588515,309750050.63,153229078.9,84065246.98
1980,413903156,36655264,300366058,127418244,327236615,344203509.66999996,164318886.2,81715014.81
1981,484209994,25275762,350596397,129303486,318404288,352383145.4,157050269.1,96112783.91
1982,476272125,30519518,345823732,127139556,313488960,333484753.03,171514185.7,78943404.54
1983,444520650,34405898,331747291,113784297,310604221,339000938.01,180393802.2,89741361.71
1984,436582782,27504715,278054144,119103313,260174568,339947267.7,170626514.6,76848912.14
1985,408233250,17929604,289320652,117524285,231350555,323132503.96000004,171201965.2,73052147.74
1986,530136234,33207734,279697343,139527411,298463742,346148348.24,154236619.7,77651689.83
1987,539775074,32062639,289698532,109775612,296685340,337754309.77,133223933.7,72789229.37
1988,549413915,57952180,300968283,129673201,325942342,363081111.23,160790791.6,80578496.57
1989,559052757,56755036,295237491,95646792,298671096,351688079.62,145993786.5,76557716.95
1990,572191190,60560716,297644177,120371689,311079795,391803218.99,158477034.4,58860823.45
1991,616393448,25074885,357030201,144612724,322064912,368830151.71000004,158800776.4,75576446.66
1992,617076842,32655706,419330560,142538071,307089063,440469999.99,157868171.9,93584122.06
1993,603315951,42787167,316326685,126421080,316675145,387985756.75,169830217.7,101032141.2
1994,589132204,58112001,375003717,150433811,290466235,407988053.35,156178033.4,93489167.2
1995,630027858,32660644,415248248,139633477,307903187,380321683.19,155550548.0,92405619.02
1996,643751659,57474148,366215641,171402643,341461270,396232619.59999996,155914179.9,95775080.83
1997,673934338,28871347,416384846,195571478,343697251,367711405.49,154659888.2,94679270.4
1998,667007772,61231313,347724442,153023083,364807680,405304400.90999997,148460034.6,92672182.46
1999,591517239,58134314,337281086,137377046,334308763,371593675.29,153071557.2,90455655.29
2000,602454335,42942945,284623055,137231671,368198232,318540169.05,146278266.4,92792338.21
2001,612265981,22923238,406642656,129170111,273049672,386353960.85,135097205.1,94479559.46
2002,645623232,46484873,433829093,138743981,289182383,309172689.52,135491463.3,97834468.16
2003,578042525,25803818,328739638,115886886,328046636,387436310.71,135833364.8,101150851.2
2004,630148151,50815147,341733613,116357801,363493332,332536661.62,141957611.5,113359111.6
2005,537659066,57873622,385656522,186245530,414605109,279727759.7,129349629.0,100262408.0
2006,677019249,31197047,482822851,210221321,392884334,303051092.59,129766894.4,89468294.63
2007,798924717,85996257,318638753,154881098,376917814,271749164.83,135112786.4,97379756.76
2008,711938150,44595806,329892641,102532077,281157517,308142368.78,136817462.2,87629080.11
2009,833079099,58482153,261404250,82938463,277096424,261348224.24,126770313.7,96802335.63
2010,832985885,59675109,275525044,95292589,258156781,258443594.0,117189478.1,107042076.6
2011,611089341,50378205,287079142,91744127,247542475,260000149.02,113102336.5,104560873.6
2012,616879903,29092056,311203987,108802449,236779681,222058711.16,106178403.8,112135311.9
2013,669889444,71142259,286886468,83963402,289017279,220340437.44,102308217.4,108277855.4
2014,741312346,52573872,259689322,102290622,305827265,194350326.19,102188233.3,107812093.0
2015,762649111,60401810,274615410,109886452,290643067,160822357.39,96827426.41,104001234.5
2016,544363390,35470718,237703468,110280521,293459996,175852827.15,88656190.48,103843266.7
2017,590494201,48680342,235827242,106136752,275081125,193780658.5,86698825.07,112326327.0
2018,559263677,57581788,302876239,103760343,276085911,166824991.15,77926903.34,105527908.2
2019,440459863,22357743,330737954,103505804,254613046,158721179.8,84641877.32,104546792.4
